user_id,action,action_type,action_detail,device_type,secs_elapsed
msfo4las9k,show,view,p3,iPad Tablet,1639.0
msfo4las9k,create,submit,create_user,iPad Tablet,
msfo4las9k,header_userpic,data,header_userpic,iPad Tablet,603.0
msfo4las9k,salute,-unknown-,-unknown-,iPad Tablet,32109.0
msfo4las9k,dashboard,view,dashboard,iPad Tablet,1385.0
msfo4las9k,confirm_email,click,confirm_email_link,iPad Tablet,1682.0
msfo4las9k,salute,-unknown-,-unknown-,iPad Tablet,155111.0
msfo4las9k,show,view,p3,iPad Tablet,3579.0
msfo4las9k,similar_listings,data,similar_listings,iPad Tablet,2544.0
msfo4las9k,show,,,iPad Tablet,56.0
msfo4las9k,personalize,data,wishlist_content_update,iPad Tablet,508.0
msfo4las9k,header_userpic,data,header_userpic,iPad Tablet,4302.0
4n32dm2435,travel_plans_current,view,your_trips,Mac Desktop,609.0
4n32dm2435,create,submit,create_phone_numbers,Mac Desktop,590728.0
4n32dm2435,requested,view,p5,Mac Desktop,15590.0
4n32dm2435,header_userpic,data,header_userpic,Mac Desktop,3237.0
4n32dm2435,create,submit,create_user,Mac Desktop,
4n32dm2435,verify,-unknown-,-unknown-,Mac Desktop,49914.0
4n32dm2435,requested,view,p5,Mac Desktop,1270.0
4n32dm2435,pending,booking_request,pending,Mac Desktop,1000.0
4n32dm2435,,message_post,message_post,Mac Desktop,37415.0
4n32dm2435,requested,view,p5,Mac Desktop,5310.0
4n32dm2435,requested,view,p5,Mac Desktop,12196.0
ixmk7qm5cv,ask_question,submit,contact_host,Windows Desktop,636.0
ixmk7qm5cv,ajax_lwlb_contact,click,contact_host,Windows Desktop,19371.0
ixmk7qm5cv,login_modal,view,login_modal,Windows Desktop,13424.0
ixmk7qm5cv,authenticate,submit,login,Windows Desktop,9581.0
ixmk7qm5cv,header_userpic,data,header_userpic,Windows Desktop,474.0
ixmk7qm5cv,create,-unknown-,-unknown-,Windows Desktop,28648.0
ixmk7qm5cv,update,-unknown-,-unknown-,Windows Desktop,10457.0
ixmk7qm5cv,signup_modal,view,signup_modal,Windows Desktop,4954.0
ixmk7qm5cv,show,view,p3,Windows Desktop,4646.0
ixmk7qm5cv,personalize,data,wishlist_content_update,Windows Desktop,1133.0
ixmk7qm5cv,show,,,Windows Desktop,129.0
ixmk7qm5cv,ajax_refresh_subtotal,click,change_trip_characteristics,Windows Desktop,1064.0
ixmk7qm5cv,update,-unknown-,-unknown-,Windows Desktop,6921.0
ixmk7qm5cv,ajax_refresh_subtotal,click,change_trip_characteristics,Windows Desktop,1571.0
ixmk7qm5cv,ajax_check_dates,click,change_contact_host_dates,Windows Desktop,56.0
ixmk7qm5cv,,message_post,message_post,Windows Desktop,65935.0
ixmk7qm5cv,ask_question,submit,contact_host,Windows Desktop,384.0
ixmk7qm5cv,confirm_email,click,confirm_email_link,Windows Desktop,11247.0
ixmk7qm5cv,dashboard,view,dashboard,Windows Desktop,788.0
ixmk7qm5cv,,message_post,message_post,Windows Desktop,
ot40mdgv5w,ajax_lwlb_contact,click,contact_host,Windows Desktop,156113.0
ot40mdgv5w,show,,,Windows Desktop,1468.0
