id,date_account_created,timestamp_first_active,date_first_booking,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
f8v9hjple3,2014-04-26,2014-04-26 11:45:20,,MALE,39.0,facebook,23,zh,direct,direct,untracked,Android,Other/Unknown,-unknown-,NDF
307x7iiroe,2014-06-04,2014-06-04 05:52:44,2014-10-03,FEMALE,32.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,other
9kmolsyxpb,2012-12-02,2012-12-02 23:30:12,2012-12-03,-unknown-,28.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,FR
cgaq7idawi,2013-10-28,2013-10-28 18:00:25,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF
1a15fszh5a,2013-04-30,2013-04-30 20:30:19,2013-05-02,MALE,25.0,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
3xbew2nej5,2012-12-28,2012-12-28 18:31:11,,MALE,37.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,NDF
x8iy8srna4,2012-08-21,2012-08-21 02:33:36,2012-08-22,FEMALE,36.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA
lz3f6q00jl,2012-10-17,2012-10-17 20:26:05,,MALE,27.0,facebook,0,en,sem-non-brand,vast,omg,Web,Mac Desktop,Safari,NDF
29xwscsurf,2014-01-27,2014-01-27 09:58:50,,MALE,33.0,facebook,12,fr,api,other,untracked,iOS,iPhone,-unknown-,NDF
hctzcei09y,2012-01-20,2012-01-20 20:43:23,2012-02-05,FEMALE,45.0,basic,2,en,direct,direct,linked,Web,Mac Desktop,Safari,US
9qhynxrlfk,2012-05-06,2012-05-06 16:16:19,,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,NDF
lqdjk3rmh4,2011-08-07,2011-08-07 20:02:27,2011-08-12,MALE,36.0,facebook,2,en,sem-non-brand,vast,untracked,Web,Windows Desktop,Chrome,US
xqagx722kl,2013-05-21,2013-05-21 19:16:06,2013-05-22,FEMALE,27.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
s8h4omh401,2014-04-02,2014-04-02 06:00:51,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,NDF
ltef58l4ih,2013-03-15,2013-03-15 20:08:47,2013-03-27,MALE,27.0,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
2qppjtchzv,2013-06-24,2013-06-24 04:53:06,2013-06-28,-unknown-,,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,other
jtknflhr9a,2014-04-09,2014-04-09 16:14:34,,-unknown-,,basic,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,NDF
ag5hr8qu6n,2013-10-05,2013-10-05 22:29:40,,MALE,63.0,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,NDF
p2mz8bnmqq,2014-05-09,2014-05-09 20:20:23,2014-05-14,FEMALE,39.0,facebook,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,US
xsun9i6kuo,2013-09-13,2013-09-13 10:01:18,,MALE,36.0,facebook,0,en,sem-non-brand,google,linked,Web,Windows Desktop,Chrome,NDF
ez401kjf9m,2012-08-10,2012-08-10 22:23:05,2012-08-16,MALE,24.0,basic,3,en,sem-non-brand,google,omg,Web,Windows Desktop,Firefox,ES
fulqryi7z8,2014-04-26,2014-04-26 01:14:25,,-unknown-,,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,NDF
r3reajimxp,2013-08-12,2013-08-12 19:40:03,2013-08-12,MALE,52.0,facebook,0,en,sem-non-brand,google,omg,Web,iPad,Mobile Safari,US
pbe9bodn2n,2014-06-19,2014-06-19 18:02:43,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
lam8vaqjj7,2012-05-23,2012-05-23 16:55:25,,MALE,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF
dijpdh1m9t,2013-03-18,2013-03-18 01:26:20,2013-04-24,FEMALE,32.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,CA
ctadxjw8m6,2013-08-28,2013-08-28 22:59:44,,FEMALE,45.0,facebook,0,en,direct,direct,omg,Web,Mac Desktop,Safari,NDF
4e4ai0k5b8,2013-06-02,2013-06-02 12:38:57,,FEMALE,36.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
wcy53qn9fj,2012-06-27,2012-06-27 09:02:55,2012-06-27,MALE,42.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
cglgfwwmbu,2011-01-29,2011-01-29 23:40:00,2011-02-03,MALE,34.0,basic,2,en,seo,google,untracked,Web,Windows Desktop,Chrome,FR
e48y4ouniz,2012-12-13,2012-12-13 05:29:47,,MALE,28.0,basic,0,en,content,facebook,omg,Web,Mac Desktop,Firefox,NDF
9osh0ra0i9,2014-06-19,2014-06-19 02:26:17,,-unknown-,,basic,25,en,direct,direct,,iOS,Other/Unknown,-unknown-,NDF
r8pt96hggs,2014-04-28,2014-04-28 06:58:11,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
51cbxn8ey2,2011-06-08,2011-06-08 01:36:20,2011-06-11,-unknown-,,facebook,2,en,direct,direct,untracked,Web,Mac Desktop,Chrome,FR
2yfvbu022a,2014-05-30,2014-05-30 00:31:09,,-unknown-,42.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF
5c0piwld97,2012-08-14,2012-08-14 16:42:28,,-unknown-,,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,NDF
dxdppejmer,2014-01-14,2014-01-14 21:46:00,,FEMALE,27.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF
vvy65t8z5u,2014-04-12,2014-04-12 18:32:50,2014-04-13,-unknown-,,basic,0,en,direct,direct,omg,Web,Mac Desktop,Safari,US
ih20sdqr9m,2013-12-05,2013-12-05 15:28:58,,FEMALE,29.0,facebook,12,en,api,other,untracked,iOS,Windows Desktop,Chrome,NDF
ujjpdgft27,2014-04-05,2014-04-05 05:13:14,,FEMALE,43.0,facebook,12,en,direct,direct,untracked,Android,Other/Unknown,-unknown-,NDF
zclhltwi11,2014-03-23,2014-03-23 20:33:15,,MALE,26.0,facebook,12,en,api,other,untracked,iOS,iPad,-unknown-,NDF
9635rbllwz,2014-02-07,2014-02-07 20:18:53,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
qnvs0nqhxq,2013-06-12,2013-06-12 18:47:17,2013-08-11,FEMALE,53.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
yhh5le1vbm,2013-11-25,2013-11-25 20:28:34,2013-11-26,FEMALE,34.0,facebook,0,en,direct,direct,omg,Web,Mac Desktop,Safari,US
4qjbrd8opv,2013-09-20,2013-09-20 00:26:15,,-unknown-,,basic,0,en,other,meetup,tracked-other,Web,Mac Desktop,Safari,NDF
tu0x2fia31,2012-05-15,2012-05-15 06:23:16,2012-05-16,FEMALE,29.0,facebook,0,en,sem-non-brand,google,omg,Web,Windows Desktop,Chrome,US
z3jl5k6ee9,2012-02-11,2012-02-11 05:10:10,2012-02-11,FEMALE,35.0,basic,3,en,direct,direct,untracked,Web,Mac Desktop,Safari,FR
1ho1j5i2t4,2013-08-27,2013-08-27 05:31:48,,-unknown-,,basic,24,en,direct,direct,untracked,Moweb,Mac Desktop,Chrome,NDF
z3kc029bs0,2013-10-21,2013-10-21 06:36:21,,-unknown-,,basic,0,en,sem-non-brand,google,untracked,Web,Mac Desktop,Safari,NDF
ccluzrtbb9,2013-09-25,2013-09-25 18:13:59,,FEMALE,32.0,facebook,0,en,direct,direct,tracked-other,Web,Mac Desktop,Chrome,NDF
8zwovazuue,2013-12-23,2013-12-23 06:11:45,,-unknown-,,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,NDF
6xsw7fcquj,2011-09-27,2011-09-27 18:08:29,,MALE,53.0,basic,2,en,direct,direct,untracked,Web,iPhone,Mobile Safari,NDF
pdl3prv5wd,2012-09-04,2012-09-04 04:37:26,2012-09-06,MALE,33.0,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,CA
hz7n6mkpy8,2013-07-17,2013-07-17 16:57:16,,FEMALE,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,NDF
bdwarcjvc9,2013-04-20,2013-04-20 09:44:58,2013-04-27,FEMALE,36.0,basic,0,ja,seo,facebook,linked,Web,Mac Desktop,Chrome,other
40tphuip3i,2013-08-14,2013-08-14 03:26:15,,MALE,29.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
2n448qp79t,2014-06-22,2014-06-22 02:50:25,,-unknown-,,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,IE,NDF
amx1qhi573,2014-03-03,2014-03-03 23:59:32,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,NDF
d5lcmijz0o,2013-04-01,2013-04-01 21:25:47,,-unknown-,,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,NDF
0paklsy5y5,2014-03-29,2014-03-29 18:38:47,2014-03-29,-unknown-,30.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,other
dbzp7sxcm7,2013-01-18,2013-01-18 22:12:21,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,NDF
ief9l3ht1s,2013-07-22,2013-07-22 06:42:19,,FEMALE,58.0,basic,0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,NDF
8w2gi4w2m3,2013-09-03,2013-09-03 20:49:55,,-unknown-,,basic,0,en,direct,direct,omg,Web,Windows Desktop,IE,NDF
xp11ckh983,2013-12-17,2013-12-17 00:26:12,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF
wwwz53e25z,2012-10-19,2012-10-19 23:10:06,,-unknown-,31.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,NDF
3ug2ir5460,2012-08-25,2012-08-25 03:19:50,,MALE,29.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,NDF
dlbh9slblr,2013-04-03,2013-04-03 04:08:43,2013-04-04,MALE,30.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
